article_id,technique,start,end,text_spans
111111132,"Name_Calling,Labeling",8607,8630,You are not a Christian
111111132,"Whataboutism,Straw_Men,Red_Herring",9598,9650,"(Faber was nominated by President George H.W.
Bush.)"
111111132,Loaded_Language,10340,10350,"very, very"
111111132,Loaded_Language,10851,10860,extremely
111111132,Slogans,12045,12087,liberty of conscience is not up for a vote
111111132,Black-and-White_Fallacy,5776,5811,"If you die tonight.
Heaven or Hell?"
111111133,Loaded_Language,1224,1244,ominous encroachment
111111133,Loaded_Language,2593,2606,grandstanding
111111133,Black-and-White_Fallacy,4159,4173,behave or else
111111133,Loaded_Language,358,367,ballooned
111111133,Loaded_Language,460,465,testy
111111133,Loaded_Language,504,507,ire
111111133,Loaded_Language,1070,1077,insults
111111133,Loaded_Language,2572,2589,overly aggressive
111111133,"Name_Calling,Labeling",2625,2646,devoted news consumer
111111133,Loaded_Language,2944,2950,severe
111111133,Loaded_Language,3830,3836,flouts
111111134,"Name_Calling,Labeling",945,984,totally false and deliberately libelous
111111134,"Exaggeration,Minimisation",1415,1514,willing to bet the Guardian a million dollars and its editor’s head that Manafort never met Assange
111111134,Repetition,1225,1237,I have never
111111134,"Name_Calling,Labeling",2427,2456,government-aligned cyberspies
111111135,"Bandwagon,Reductio_ad_hitlerum",3286,3319,Adolf Hitler as “a very great man
111111135,Repetition,4583,4590,condemn
111111135,Loaded_Language,582,611,filth and degenerate behavior
111111135,Causal_Oversimplification,543,683,Jews were “responsible for all of this filth and degenerate behavior that Hollywood is putting out turning men into women and women into men
111111135,Loaded_Language,835,844,fervently
111111135,Loaded_Language,1476,1483,condemn
111111135,Appeal_to_Authority,1929,2341,"Edward E. Curtis IV, the author of “Black Muslim Religion in the Nation of Islam,” said that while estimates ranged wildly about how many bona fide members belonged to the Nation, he believes that there were tens of thousands of members in the 1960s and early 1970s.
But he said that millions of others sympathized with the movement’s anticolonial stance and were inspired by its most famous member, Muhammad Ali"
111111135,"Name_Calling,Labeling",2984,3018,the white man” as “the white devil
111111135,Loaded_Language,3045,3084,outspokenly and flagrantly anti-Zionist
111111135,"Exaggeration,Minimisation",3262,3319,his 1984 description of Adolf Hitler as “a very great man
111111135,Loaded_Language,4580,4590,to condemn
111111135,Loaded_Language,6524,6539,make me shudder
111111135,Loaded_Language,6813,6839,harmful and divisive views
111111135,"Exaggeration,Minimisation",7009,7036,an “outstanding human being
111111135,Loaded_Language,2045,2051,wildly
111111135,Doubt,4433,4498,Why were Tamika Mallory and Danny Davis reluctant to denounce him
111111135,Loaded_Language,7134,7152,monthlong backlash
111111136,Loaded_Language,1243,1254,stamped out
111111136,Flag-Waving,1874,2026,"This is the new Sweden; the new, exciting dynamic, multicultural paradise that so many here in this assembly ... have fought to create for so many years"
111111137,Loaded_Language,2321,2332,poison pill
111111137,"Exaggeration,Minimisation",143,183,the worst school shootings in US history
111111137,Loaded_Language,2058,2064,hailed
694327499,Loaded_Language,9221,9252,for “certain” public adulterers
694327499,Loaded_Language,11573,11606,cunning ecclesiastical politician
694327499,Causal_Oversimplification,1366,1501,"All of the critics of AL are wrong—every one of them!—because, you see, the original Latin text does not say what the English text does"
694327499,Loaded_Language,2798,2874,And that is exactly the nonsense Fastiggi and Goldstein expect us to swallow
694327499,"Name_Calling,Labeling",3032,3055,our intrepid presenters
694327499,"Name_Calling,Labeling",3656,3688,all those ignorant critics of AL
694327499,Causal_Oversimplification,4811,4934,all the tumult triggered by AL is just a misunderstanding caused by uninformed people who haven’t consulted the Latin text—
694327499,"Name_Calling,Labeling",4944,4978,those ignorant Vatican translators
694327499,Loaded_Language,5950,6079,But such embarrassing truths need not impede the Bergoglian Mercy Train as it barrels toward a train wreck at the end of the line
694327499,"Name_Calling,Labeling",6320,6343,Our dynamic translators
694327499,Loaded_Language,9393,9408,synodal charade
694327499,Appeal_to_fear-prejudice,9630,9695,"In a sense, what Bergoglio is doing is worse than explicit heresy"
694327499,"Name_Calling,Labeling",11470,11661,"the humble apostle of mercy depicted in his carefully crafted public relations narrative, but rather a cunning ecclesiastical politician, constantly plotting and scheming to get what he wants"
694327499,Loaded_Language,11720,11770,the grim reality of this unprecedented pontificate
694327499,Loaded_Language,110,142,the old reliable “mistranslation
694327499,Thought-terminating_Cliches,6296,6318,"But wait, there’s more"
694356862,Loaded_Language,86,106,reckless appeasement
694356862,Loaded_Language,820,830,disastrous
694356862,Loaded_Language,2378,2399,“It’s a new monster.”
694356862,Loaded_Language,4680,4691,milquetoast
694356862,Causal_Oversimplification,71,171,Barack Obama's reckless appeasement of the Iranian regime has enabled its rise as a hegemonic threat
694356862,"Exaggeration,Minimisation",270,311,turned his back on millions of dissidents
694356862,Causal_Oversimplification,532,574,giving rise to ISIS’s re-emergence in Iraq
694356862,"Exaggeration,Minimisation",713,795,turning Iraq into a virtual vassal state of the largest state sponsor of terrorism
694356862,Causal_Oversimplification,854,922,legitimized Iran's path to eventually becoming a nuclear-armed state
694356862,Flag-Waving,2754,2768,American blood
694356862,Appeal_to_fear-prejudice,5069,5184,could actually accelerate the cycle of violence and perpetuate conflict rather than get us to a sustainable outcome
694356862,Doubt,5363,5430,Whether the Trump administration follows through remains to be seen
694356862,Loaded_Language,733,747,virtual vassal
694811415,Black-and-White_Fallacy,274,321,Paddock could not have carried out the massacre
694811415,Thought-terminating_Cliches,854,913,"I’m not a big conspiracy theory guy, but it don’t sit right"
694811415,Doubt,1013,1112,Paddock’s body may have been left in the hotel room while other assailants carried out the shooting
694811415,"Bandwagon,Reductio_ad_hitlerum",1629,1719,"after virtually every terror attack and mass shooting, friends and neighbors express shock"
694811415,Appeal_to_Authority,498,546,I can tell you 100% this is not that kind of guy
694811415,Doubt,1,23,It’s gotta be a set-up
695833178,Doubt,1992,2104,This throws their entire narrative into question and makes one wonder what else is being hidden from the public?
695833178,Doubt,364,405,seemingly covering up the ISIS connection
695833178,Appeal_to_Authority,546,624,Laura Loomer proves that authorities have directly lied to the American people
695833178,Doubt,2420,2438,so-called evidence
695833178,Flag-Waving,597,624,lied to the American people
695833178,Doubt,76,102,What Else Are They Hiding?
695833178,Repetition,1040,1093,proving that the FBI specifically lied to the country
695833178,Flag-Waving,1074,1093,lied to the country
695833178,Appeal_to_Authority,837,954,"According to Loomer, she obtained the image from a source which shows that Paddock’s car first arrived September 25th"
695833178,"Name_Calling,Labeling",2420,2438,so-called evidence
695833178,Doubt,2510,2570,cannot be trusted and should be considered as disinformation
696246189,Repetition,861,882,it was a suicide note
696246189,"Whataboutism,Straw_Men,Red_Herring",2552,2645,"While officials did not reveal the woman’s name, they did tell reporters she was a prostitute"
696246189,Repetition,2848,2898,ammunition was purchased under someone else’s name
696246189,Repetition,3236,3277,ammo was bought under someone else’s name
696264594,"Name_Calling,Labeling",388,414,anti-Israel BDS hate group
696264594,Loaded_Language,490,520,accused Jews of drinking blood
696264594,"Bandwagon,Reductio_ad_hitlerum",899,972,"EU no longer considers #Hamas a terrorist group.
Time for US to do same."""
696264594,Loaded_Language,1173,1207,Holocaust Syndrome” of entitlement
696264594,"Name_Calling,Labeling",1313,1356,Hezbollah as “an armed-resistance movement”
696264594,Repetition,3752,3766,an anti-Israel
696264594,Loaded_Language,6029,6043,Its perversion
696264594,Loaded_Language,6754,6784,accused Jews of drinking blood
696264594,Appeal_to_fear-prejudice,7337,7433,"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews"
696264594,Flag-Waving,3829,4015,"Zionism does not only dispossess Palestinians, but it also dispossesses in a very sophisticated way, non-white Jews.
Being Jewish is highly identified with being white because of Zionism"
696264594,Loaded_Language,6201,6207,simmer
696264594,Thought-terminating_Cliches,7013,7040,We all have choices to make
696264594,Black-and-White_Fallacy,7337,7433,"Either you stand with BDS, Hamas, blood libels and those who want to destroy Israel or with Jews"
696694316,Thought-terminating_Cliches,3987,4010,just around the corner”
696694316,Loaded_Language,603,661,very dirty and unappealing water under the Catholic bridge
696694316,Loaded_Language,1020,1094,Who can read this without cringing at what we now know was about to happen
696694316,Loaded_Language,3276,3379,"Pope Paul’s gracious and beautiful exposition, and in part on the sheer radical, mad unlikeliness of it"
696694316,Loaded_Language,3471,4010,"The idea of transubstantiation struck me as I read that document as possibly the strangest and most earth shattering thing I’d ever heard.
It shocked me out of a kind of swamp of intellectual worldliness; presenting the idea to my thirsty mind that there could indeed be fantastic realities far more wonderful than the banal and painfully uninteresting secularist worldview I had been taught to accept.
It was as though someone had plausibly told me that, yes, there were fairies and magical kingdoms in real life, “just around the corner”"
696694316,Loaded_Language,4478,4500,it was outright wicked
696694316,Loaded_Language,7026,7097,this sacramental reality that was about to be catastrophically obscured
696694316,Black-and-White_Fallacy,7971,8295,"…it is not allowable to emphasize what is called the “communal” Mass to the disparagement of Masses celebrated in private, or to exaggerate the element of sacramental sign as if the symbolism, which all certainly admit in the Eucharist, expresses fully and exhausts completely the mode of Christ’s presence in this sacrament"
696694316,Black-and-White_Fallacy,8298,8642,"Nor is it allowable to discuss the mystery of transubstantiation without mentioning what the Council of Trent stated about the marvelous conversion of the whole substance of the bread into the Body and of the whole substance of the wine into the Blood of Christ, speaking rather only of what is called “transignification” and “transfiguration,”"
696694316,Appeal_to_fear-prejudice,9586,9819,"We know it is demonically inspired because their hatred is for Christ Himself in the first place and for anyone who loves and wants to serve Him second.
They are men who refuse to bend the knee before the God whom they will not serve"
696694316,"Bandwagon,Reductio_ad_hitlerum",9373,9584,The demonic forces we know are the driving force behind this supreme moment of heresy and destruction aren’t really looking at the undermining of marriage as their primary goal; they want to get at the Eucharist
696694316,Loaded_Language,11102,11126,is demonically brilliant
696694316,Loaded_Language,12634,12736,will be ruling embattled islands of Catholicism in a poisoned sea of systematic heresy and desecration
696694316,Thought-terminating_Cliches,13456,13555,"But whatever its flaws, Mysterium Fidei is the one I found, and I’m convinced it wasn’t an accident"
696694316,Loaded_Language,4376,4395,pernicious nonsense
696694316,Black-and-White_Fallacy,10661,10866,"If the Mass were ever reduced in our minds to being merely a commemorative meal and the priest as only a community leader or functionary, then the celibacy of the Catholic Priesthood might seem extravagant"
696694316,Appeal_to_fear-prejudice,12738,12848,"A dark, impenetrable and “irreversible” winter of persecution of the faithful by their own shepherds will fall"
696735702,Doubt,2630,2685,why weren’t the police rushing to the scene immediately
696735702,Doubt,1115,1140,constantly changing story
696735702,Doubt,3585,3632,While we may never know the exact circumstances
697063039,Thought-terminating_Cliches,1975,2072,"As the days have become weeks, the weeks will become months, and survival will get more difficult"
697063039,"Exaggeration,Minimisation",1160,1220,a natural disaster of a magnitude not seen in over a century
697063039,"Exaggeration,Minimisation",1375,1413,the unprecedented level of destruction
697063039,"Name_Calling,Labeling",1824,1852,the hurricane-ravaged island
697063039,Loaded_Language,115,120,wrath
697063039,Loaded_Language,142,152,devastated
697063039,Flag-Waving,1226,1346,we are doing everything possible to address the needs of the American citizens of Puerto Rico during this time of crisis
697063039,Loaded_Language,1828,1845,hurricane-ravaged
697444415,Loaded_Language,512,539,series of shocking comments
697444415,"Whataboutism,Straw_Men,Red_Herring",1471,1596,Take note that what he means here is that people were being shot at from ground level rather than the 32nd floor of the hotel
697444415,Loaded_Language,2817,2831,huge bombshell
697444415,Doubt,2959,3022,we are not being told what actually happened that fateful night
697444415,Doubt,2815,2860,a huge bombshell in the ongoing investigation
697454736,"Whataboutism,Straw_Men,Red_Herring",8030,8056,while Francis does nothing
697454736,"Whataboutism,Straw_Men,Red_Herring",599,751,"Mr. Ferrara, however, bases his critique upon an assumption that the “generous response” offered to God is a sin.
This, though, is not what AL is saying"
697454736,Appeal_to_Authority,3216,3400,"Pope Francis explains this again in AL 305 when he says “a small step, in the midst of great human limitations, can be more pleasing to God than a life which appears outwardly in order"
697454736,Doubt,4856,5044,"With all due respect to Dr. Fastiggi, his argument and that of Buttiglione, that a “move away from sin” is what is pleasing to God, even if the moral norm is not adhered to, is sophistical"
697454736,Appeal_to_fear-prejudice,7080,7176,A moral catastrophe is self-evidently underway and it is not possible honestly to deny its cause
697454736,Thought-terminating_Cliches,7417,7444,with an open heart and mind
697454736,Loaded_Language,8140,8197,"with an open heart and mind, but above all with open eyes"
697454736,"Whataboutism,Straw_Men,Red_Herring",8793,8976,"He mentions the Holy Father's letter to the Buenos Aires bishops, but he fails to take into account that the statement of those Argentine bishops can be interpreted in an orthodox way"
697454736,Appeal_to_Authority,9555,9692,"I have read the Cardinal's exposition in both Italian and English, and I only find mention of the help of the sacraments in certain cases"
697454736,Black-and-White_Fallacy,10671,10950,"Does Mr. Ferrara believe that the Catholic Church under Pope Francis is a “Leviathan Church” and not the Catholic Church?
If this is so, then it would suggest that Mr. Ferrara is refusing submission to the Roman Pontiff and communion with the members of the Church subject to him"
697454736,Loaded_Language,11963,12026,Dr. Fastiggi has succumbed to an unfortunate literal-mindedness
697454736,Loaded_Language,12492,12644,"demonstrate a pronounced lack of comprehension of pertinent ecclesiological and theological basics, and a rather embarrassing lack of rhetorical finesse"
697454736,Doubt,12874,13038,I respectfully suggest that Dr. Fastiggi’s comments evince a need for serious study and reflection before he ventures further opinions on this controversy in public
697454736,Loaded_Language,7761,7777,Irony of ironies
697454736,"Name_Calling,Labeling",10597,10632,foot soldiers of a Leviathan Church
697472447,Doubt,3600,3640,What exactly do they want us to believe?
697472447,Doubt,2430,2528,There are obviously certain things that the FBI and other investigators seem intent on covering up
697472447,Doubt,3397,3459,so why change the narrative to make it even more unbelievable?
697959084,Thought-terminating_Cliches,2647,2664,Slowly but surely
697959084,Loaded_Language,128,157,astonishing eyewitness report
697959084,Doubt,1689,1765,"Keep in mind, this is all information that the police and the FBI has hidden"
697959084,Flag-Waving,1689,1790,"Keep in mind, this is all information that the police and the FBI has hidden from the American people"
697959084,Repetition,2783,2857,it is strikingly obvious that authorities have lied to the American people
697959084,Doubt,2914,2988,One can only speculate as to what the reasons for these lies actually are?
697996062,"Name_Calling,Labeling",94,108,less glamorous
697996062,"Exaggeration,Minimisation",427,469,you move closer to legalizing all illegals
698018235,Appeal_to_fear-prejudice,1659,1883,"Any Jew who opposes the Occupation — or opposes Zionism itself — knows that feeling of being shunned from the places that are supposed to shelter and nurture you: families, synagogues, community centers, arts organizations,"""
698018235,"Bandwagon,Reductio_ad_hitlerum",2917,3000,"people who hate the existence of Jewish nationhood.
Not of Jewish nationhood itself"
698018235,"Name_Calling,Labeling",305,335,radical anti-Israel hate group
698018235,"Name_Calling,Labeling",555,581,anti-Israel BDS hate group
698018235,Loaded_Language,657,687,accused Jews of drinking blood
698018235,"Name_Calling,Labeling",641,652,anti-Semite
698018235,"Bandwagon,Reductio_ad_hitlerum",976,1049,"EU no longer considers #Hamas a terrorist group.
Time for US to do same."""
698018235,Repetition,1482,1493,anti-Israel
698018235,Loaded_Language,3538,3578,go whine to the New York Times some more
698018235,Loaded_Language,3623,3649,burn crosses on their lawn
698018235,Appeal_to_Authority,976,1047,"EU no longer considers #Hamas a terrorist group.
Time for US to do same"
698018235,Loaded_Language,1910,1919,terrified
698018235,Black-and-White_Fallacy,2132,2410,"If our Jewish institutions — particularly the American Jewish Historical Society — cannot accommodate dissent, and effectively exclude all Jewish anti-Zionists, then they have not only lost a rapidly growing Jewish population, but they have lost a key aspect of their Jewishness"
698018235,Loaded_Language,2431,2460,knapsack of entitled nonsense
698018235,Loaded_Language,2723,2730,whining
698018235,"Bandwagon,Reductio_ad_hitlerum",3283,3380,It's resistance to a propaganda campaign intended to attack the human rights of the Jewish people
698018235,Black-and-White_Fallacy,3514,3649,Either that or they can go whine to the New York Times some more because the Jewish community won't let them burn crosses on their lawn
698092698,"Name_Calling,Labeling",306,327,conspiracy theorists”
698092698,Repetition,675,692,Are they for real
698092698,Doubt,694,784,"Further, the FBI insists there is no jihad motive, while saying they don’t know his motive"
698092698,Doubt,1997,2029,That raised a number of question
698092698,Doubt,353,371,Are they for real?
698092698,Doubt,577,693,"Do the FBI and law enforcement think people won’t talk about it or speculate as to what happened?
Are they for real?"
698092698,Doubt,2393,2453,contradicting a timeline they had offered earlier this week…
698092698,Doubt,5882,5948,These discrepancies on basic facts are feeding conspiracy theories
698503276,Loaded_Language,7295,7301,fiasco
698503276,Loaded_Language,1057,1084,trying to clean up the mess
698503276,Loaded_Language,1169,1228,"reckless abandonment of facts in favor of ego and ideology"""
698503276,Flag-Waving,1272,1302,lying to the American people.”
698503276,Repetition,1340,1370,recklessly abandoned the facts
698503276,Repetition,1404,1456,The Obama administration lied to the American people
698503276,Repetition,4539,4559,This was another lie
698503276,Repetition,6447,6487,Obama administration lied about that too
698503276,Appeal_to_fear-prejudice,8730,8957,"the US Administration and Congress to consider the implications to the security of the US and its allies before taking any steps that might undermine the JCPOA, such as re-imposing sanctions on Iran lifted under the agreement.”"
698503276,Loaded_Language,177,200,disastrous nuclear deal
698503276,"Whataboutism,Straw_Men,Red_Herring",1303,1402,It was the Obama administration that recklessly abandoned the facts in pressing ahead with the deal
698503276,Slogans,3107,3132,Israel must be wiped out”
698503276,Loaded_Language,4612,4630,shamelessly denied
698503276,Loaded_Language,6946,6983,let’s just kick the can down the road
698503276,Loaded_Language,7332,7348,phony agreements
698503276,Appeal_to_fear-prejudice,7932,8164,North Korea’s actions over the last 23 years have proven that making concessions to a rogue regime in order to obtain denuclearization commitments is so dangerous that President Trump does not want to make the same mistake with Iran
698503276,"Bandwagon,Reductio_ad_hitlerum",9024,9279,"Appeasement through phony deals with a rogue dictatorship does not work, as proven by the infamous Munich Pact signed by British and French Prime Ministers Neville Chamberlain and Edouard Daladier with German Chancellor Adolf Hitler seventy-nine years ago"
698503276,Loaded_Language,9044,9055,phony deals
698719689,"Bandwagon,Reductio_ad_hitlerum",300,321,huge concern for many
698719689,Loaded_Language,1440,1449,extremely
698719689,Loaded_Language,131,144,unprecedented
698719689,Loaded_Language,1594,1611,difficult at best
698719689,Appeal_to_fear-prejudice,190,321,the likelihood that this disease will move to other more densely populated regions of the planet has become a huge concern for many
698719689,Appeal_to_fear-prejudice,1542,1611,making cures in underdeveloped regions of the globe difficult at best
698719689,"Name_Calling,Labeling",2324,2335,black death
698780559,Doubt,733,764,they want the public to believe
698780559,Doubt,458,625,His mere existence appears to have been fabricated by the very authorities who are cramming lies down our throats about this massacre for the sake of political agendas
698780559,Doubt,337,372,mysteriously vanished into thin air
698780559,Repetition,60,95,Mysteriously Vanished Into Thin Air
698780559,Loaded_Language,541,571,cramming lies down our throats
698780559,Repetition,1908,1931,vanishing into thin air
698780559,Doubt,2364,2399,they desperately want us to believe
699142854,Appeal_to_fear-prejudice,2181,2246,the threat Iran constitutes to US national security and interests
699142854,Appeal_to_fear-prejudice,7160,7228,"a menace to the US, its allies and international security as a whole"
699142854,Loaded_Language,692,708,murderous regime
699142854,Flag-Waving,930,981,Iran’s long rap sheet of aggression against America
699142854,Loaded_Language,1013,1039,seizure and hostage crisis
699142854,Flag-Waving,1041,1102,Trump described Iran’s crimes and acts of war against America
699142854,Appeal_to_fear-prejudice,1596,1620,sponsorship of terrorism
699142854,Repetition,3149,3217,"aggressive and illicit acts against the US, its interests and allies"
699142854,Doubt,4131,4274,"Unfortunately, it is also likely, indeed, it is more likely, that his words will not be translated into policies to achieve these critical aims"
699142854,Loaded_Language,4889,4906,ugly public fight
699142854,"Name_Calling,Labeling",7574,7602,the most outspoken supporter
699142854,"Name_Calling,Labeling",1402,1429,the authoritarian theocrats
699142854,Loaded_Language,2548,2584,overarching hostility and aggression
699142854,Repetition,6974,6981,It won’
699142854,Repetition,7069,7083,it won’t bring
699142854,Repetition,7018,7034,It won’t destroy
699142854,Repetition,6934,6952,deal won’t destroy
699142854,Causal_Oversimplification,8894,8971,"If they fail, the possibility Trump created will be lost, perhaps irrevocably"
699291100,Loaded_Language,640,646,sordid
699291100,Repetition,15,25,Threatened
699291100,Repetition,3420,3430,threatened
699291100,Repetition,3829,3839,threatened
699291100,Repetition,4424,4434,threatened
699291100,Repetition,4836,4846,threatened
699291100,Repetition,4985,4992,threats
699291100,Loaded_Language,200,218,largely ignored it
699291100,Loaded_Language,4816,4830,harsh position
